Titre,Journal,Date de publication,URL PubMed
Profiling immune cell-related gene features and immunoregulatory ceRNA in ischemic stroke.,Mol Biomed,2024 Dec 18,https://pubmed.ncbi.nlm.nih.gov/39690389
Association between handgrip strength and mortality risk among cardiovascular disease patients: A cohort study from the NHANES 2011-2014.,J Formos Med Assoc,2024 Dec 16,https://pubmed.ncbi.nlm.nih.gov/39690049
Effect of continuous positive airway pressure on non-fatal stroke and paroxysmal atrial fibrillation recurrence in obstructive sleep apnoea elderly patients.,Eur J Intern Med,2024 Dec 16,https://pubmed.ncbi.nlm.nih.gov/39690002
The efficacy of colchicine compared to placebo for preventing ischemic stroke among individuals with established atherosclerotic cardiovascular diseases: a systematic review and meta-analysis.,Scand Cardiovasc J,2024 Dec 17,https://pubmed.ncbi.nlm.nih.gov/39689934
"Age of menopause, healthy lifestyle and cardiovascular disease in women: a prospective cohort study.",Heart,2024 Dec 17,https://pubmed.ncbi.nlm.nih.gov/39689929
Physics of sliding on water explains morphological and behavioural allometry across a wide range of body sizes in water striders (Gerridae).,Proc Biol Sci,2024 Dec,https://pubmed.ncbi.nlm.nih.gov/39689886
TEMR: Trans-ethnic mendelian randomization method using large-scale GWAS summary datasets.,Am J Hum Genet,2024 Dec 3,https://pubmed.ncbi.nlm.nih.gov/39689714
Layer-specific anatomical and physiological features of the retina's neurovascular unit.,Curr Biol,2024 Dec 9,https://pubmed.ncbi.nlm.nih.gov/39689705
Endovascular recanalization of subacute or chronic symptomatic occlusion of the internal carotid artery ophthalmic segment.,Eur J Radiol,2024 Dec 12,https://pubmed.ncbi.nlm.nih.gov/39689634
Early life stress influences epilepsy outcomes in mice.,Epilepsy Behav,2024 Dec 16,https://pubmed.ncbi.nlm.nih.gov/39689578
