Titre,Journal,Date de publication,URL PubMed
profiling immune cellrelated gene features and immunoregulatory cerna in ischemic stroke,mol biomed,2024 dec 18,https://pubmed.ncbi.nlm.nih.gov/39690389
association between handgrip strength and mortality risk among cardiovascular disease patients a cohort study from the nhanes 20112014,j formos med assoc,2024 dec 16,https://pubmed.ncbi.nlm.nih.gov/39690049
effect of continuous positive airway pressure on nonfatal stroke and paroxysmal atrial fibrillation recurrence in obstructive sleep apnoea elderly patients,eur j intern med,2024 dec 16,https://pubmed.ncbi.nlm.nih.gov/39690002
the efficacy of colchicine compared to placebo for preventing ischemic stroke among individuals with established atherosclerotic cardiovascular diseases a systematic review and metaanalysis,scand cardiovasc j,2024 dec 17,https://pubmed.ncbi.nlm.nih.gov/39689934
age of menopause healthy lifestyle and cardiovascular disease in women a prospective cohort study,heart,2024 dec 17,https://pubmed.ncbi.nlm.nih.gov/39689929
physics of sliding on water explains morphological and behavioural allometry across a wide range of body sizes in water striders gerridae,proc biol sci,2024 dec,https://pubmed.ncbi.nlm.nih.gov/39689886
temr transethnic mendelian randomization method using largescale gwas summary datasets,am j hum genet,2024 dec 3,https://pubmed.ncbi.nlm.nih.gov/39689714
layerspecific anatomical and physiological features of the retinas neurovascular unit,curr biol,2024 dec 9,https://pubmed.ncbi.nlm.nih.gov/39689705
endovascular recanalization of subacute or chronic symptomatic occlusion of the internal carotid artery ophthalmic segment,eur j radiol,2024 dec 12,https://pubmed.ncbi.nlm.nih.gov/39689634
early life stress influences epilepsy outcomes in mice,epilepsy behav,2024 dec 16,https://pubmed.ncbi.nlm.nih.gov/39689578
